  Partitions	  BCS[-]	  ICP[-]	  SM[+]	  MQ[+]	  IFN[-]	  WC_time[-]	  Loss[-]
           3	   1.831	   0.002	  0.091	  1.667	   0.333	        6.53	   -3.258
           3	   2.582	   0.065	  0.086	  2.67 	   2.667	        6.64	   -2.736
           5	   1.894	   0.032	  0.108	  3.456	   1.4  	        8.18	   -4.09
           5	   1.523	   0.004	  0.079	  2.798	   0.4  	        7.92	   -4.004
           3	   2.832	   0.03 	  0.059	  2.7  	   2    	        6.89	   -3.621
           5	   1.925	   0.041	  0.149	  4.68 	   0.8  	        7.9 	   -5.995
           3	   3.563	   0.142	  0.066	  2.84 	   5.333	        6.79	   -1.278
           3	   3.262	   0.181	  0.045	  1.639	  10.667	        6.77	    5.54
           3	   2.854	   0.004	  0.053	  2.9  	   0.667	        7.01	   -5.144
           3	   2.808	   0.002	  0.061	  2.996	   0.333	        7.13	   -5.534
           5	   2.664	   0.167	  0.115	  4.513	   4    	        8.31	   -3.459
           5	   2.201	   0.045	  0.086	  3.705	   1.2  	        8.07	   -4.837
           4	   2.233	   0.002	  0.054	  2.933	   0.25 	        7.73	   -4.972
           5	   1.619	   0.004	  0.064	  2.905	   0.4  	        8.06	   -4.192
           5	   1.621	   0.036	  0.015	  1.796	   0.4  	        7.58	   -3.068
           4	   2.374	   0.137	  0.087	  2.851	   3.75 	        7.52	   -1.699
           4	   2.873	   0.146	  0.101	  3.703	   4.25 	        7.57	   -2.573
           5	   2.411	   0.139	  0.152	  4.726	   3    	        8.66	   -4.428
           5	   2.569	   0.188	  0.08 	  3.349	   4.4  	        7.65	   -1.786
           3	   3.809	   0.181	  0.11 	  2.516	   7.333	        6.62	    0.717
           4	   2.342	   0.174	  0.091	  2.724	   5.5  	        7.26	    0.169
           3	   2.682	   0.027	  0.07 	  2.706	   1.667	        7.01	   -3.818
           4	   3.404	   0.194	  0.06 	  2.508	   6.5  	        7.56	    0.334
           5	   2.254	   0.222	  0.059	  2.488	   5.4  	        7.8 	    0.377
           3	   2.285	   0.036	  0.132	  2.796	   0.667	        6.24	   -4.582
           3	   2.467	   0.039	  0.066	  1.596	   1.667	        6.7 	   -2.501
           5	   1.922	   0.03 	  0.14 	  4.615	   1.2  	        8   	   -5.507
           5	   2.226	   0.095	  0.047	  2.663	   2.8  	        7.75	   -2.231
           4	   2.191	   0.002	  0.063	  2.909	   0.25 	        7.12	   -4.915
           4	   1.805	   0.027	  0.034	  1.706	   1.25 	        7.57	   -2.322
           5	   2.438	   0.24 	  0.078	  3.505	   5.4  	        7.91	   -0.861
           3	   2.054	   0    	  0.01 	  1    	   0    	        6.55	   -3.064
           5	   2.238	   0.108	  0.149	  4.577	   3.2  	        8.3 	   -3.872
           5	   2.946	   0.441	  0.125	  3.381	  10.2  	        7.91	    3.307
           3	   2.062	   0.006	  0.118	  1.992	   0.667	        6.2 	   -3.511
           4	   1.572	   0.038	  0.027	  1.796	   0.75 	        7.48	   -2.683
           5	   1.824	   0.142	  0.147	  3.304	   3    	        7.84	   -2.417
           4	   3.125	   0.183	  0.151	  3.426	   5.75 	        7.49	   -1.135
           4	   1.988	   0.004	  0.034	  2.833	   0.5  	        7.35	   -4.359
           3	   2.581	   0    	  0.072	  3    	   0    	        6.99	   -5.653
           3	   2.281	   0.036	  0.124	  2.796	   0.667	        6.56	   -4.57
