  Partitions	  BCS[-]	  ICP[-]	  SM[+]	  MQ[+]	  IFN[-]	  WC_time[-]	  Loss[-]
           3	   1.91 	   0.133	  0.118	  1.602	   2.667	        5.68	   -1.096
           3	   2.45 	   0.244	  0.039	  1.628	   5.667	        4.85	    1.306
           5	   0.891	   0.01 	  0.059	  1.991	   0.2  	        6.22	   -2.751
           4	   2.503	   0.338	  0.171	  3.234	   5    	        5.8 	   -1.246
           4	   3.286	   0.372	  0.111	  3.437	   4.75 	        5.62	   -2.456
           5	   2.305	   0.314	  0.18 	  3.99 	   3.6  	        6.76	   -3.189
           3	   2.284	   0.133	  0.057	  1.824	   2.667	        5.27	   -1.631
           4	   2.604	   0.281	  0.079	  2.399	   4    	        6.11	   -1.363
           4	   2.372	   0.229	  0.124	  2.51 	   3.25 	        5.71	   -1.985
           5	   2.17 	   0.255	  0.081	  2.73 	   2.6  	        6.66	   -2.636
           4	   2.229	   0.13 	  0.204	  2.777	   1.75 	        5.53	   -3.59
           5	   1.654	   0.206	  0.125	  2.401	   2.4  	        6.22	   -1.986
           5	   2.021	   0.153	  0.191	  3.848	   1.8  	        6   	   -4.413
           4	   3.329	   0.269	  0.09 	  3.258	   3.75 	        5.72	   -3.196
           3	   2.291	   0.124	  0.05 	  1.82 	   2.333	        5.25	   -1.952
           3	   3.227	   0.297	  0.029	  1.639	   5.333	        5.33	    0.141
           3	   2.459	   0.239	  0.038	  1.697	   5    	        4.99	    0.567
           4	   1.587	   0.021	  0.135	  1.991	   0.25 	        5.82	   -3.484
           3	   3.015	   0.108	  0.068	  1.932	   2    	        4.95	   -3.123
           4	   2.367	   0.134	  0.119	  2.843	   2    	        5.44	   -3.463
           3	   1.62 	   0.062	  0.051	  1.657	   1    	        4.98	   -2.39
           3	   2.116	   0.021	  0.178	  1.991	   0.333	        5.32	   -3.973
           3	   2.427	   0.113	  0.066	  1.646	   1.667	        5.68	   -2.585
           4	   2.531	   0.148	  0.117	  2.878	   2.5  	        5.56	   -3.174
           3	   3.473	   0.331	  0.044	  2.357	   6.333	        5.04	    0.128
           5	   1.95 	   0.174	  0.075	  2.42 	   2.2  	        6.53	   -2.419
           5	   2.461	   0.294	  0.126	  3.203	   3.2  	        6.76	   -2.884
           3	   3.319	   0.227	  0.092	  2.64 	   4.333	        5.96	   -1.945
           4	   2.617	   0.155	  0.173	  2.656	   2.5  	        5.81	   -3.101
           3	   3.549	   0.249	  0.05 	  1.988	   5    	        5.64	   -0.836
           5	   2.273	   0.187	  0.202	  3.4  	   2.2  	        6.29	   -3.862
           5	   2.538	   0.283	  0.161	  4.343	   3.4  	        6.87	   -3.925
           4	   2.581	   0.279	  0.064	  2.446	   3.75 	        5.47	   -1.62
           5	   2.18 	   0.201	  0.11 	  2.476	   2.4  	        6.52	   -2.567
           3	   3.194	   0.224	  0.088	  2.608	   4.333	        6.13	   -1.781
           5	   2.711	   0.203	  0.228	  4.785	   2.2  	        6.44	   -5.727
           5	   1.28 	   0.142	  0.126	  2.589	   1.8  	        6.02	   -2.337
           3	   3.322	   0.257	  0.192	  2.707	   4.667	        5.28	   -1.811
           5	   2.666	   0.27 	  0.139	  4.143	   3.2  	        6.93	   -4.018
           4	   2.972	   0.287	  0.15 	  3.182	   4.25 	        5.42	   -2.341
           3	   2.765	   0.154	  0.279	  2.589	   3    	        5.27	   -2.787
           3	   3.505	   0.344	  0.045	  2.197	   6.333	        5.51	    0.242
           4	   2.704	   0.315	  0.125	  3.462	   4.25 	        5.66	   -2.356
           3	   2.515	   0.118	  0.157	  2.829	   2.333	        5.01	   -3.286
           4	   3.198	   0.383	  0.068	  3.099	   5.25 	        5.68	   -1.498
           3	   3.338	   0.297	  0.12 	  2.473	   5.667	        5.58	   -0.561
           3	   2.933	   0.209	  0.204	  2.415	   4.667	        5.8 	   -1.094
           4	   3.041	   0.314	  0.056	  2.317	   4    	        6.03	   -1.728
           3	   1.485	   0.01 	  0.095	  1.991	   0.333	        5.71	   -3.248
           5	   1.793	   0.163	  0.224	  3.575	   2    	        5.99	   -3.755
           4	   3.044	   0.306	  0.149	  3.155	   4.25 	        5.64	   -2.404
           5	   2.803	   0.34 	  0.097	  2.99 	   3.8  	        6.07	   -2.43
           3	   2.451	   0.156	  0.042	  1.812	   3.333	        4.87	   -1.128
           5	   2.423	   0.2  	  0.14 	  2.766	   2.4  	        6.56	   -3.129
           3	   3.025	   0.278	  0.088	  2.363	   5    	        5.46	   -0.754
           3	   3.399	   0.307	  0.1  	  2.012	   6.333	        5.79	    0.515
           3	   2.305	   0.138	  0.055	  1.85 	   3    	        5.26	   -1.348
           5	   2.054	   0.184	  0.081	  2.568	   2    	        6.08	   -2.887
           5	   2.189	   0.134	  0.193	  3.623	   1.2  	        6.55	   -4.939
           3	   2.53 	   0.107	  0.137	  2.634	   2    	        5.44	   -3.408
           3	   2.457	   0.176	  0.039	  1.552	   4    	        5.35	   -0.224
           5	   1.879	   0.363	  0.085	  2.138	   4.2  	        6.61	   -0.265
           5	   2.536	   0.188	  0.078	  2.721	   2.6  	        6.11	   -2.923
           3	   3.313	   0.222	  0.147	  2.747	   4.333	        5.24	   -2.096
           5	   3.003	   0.278	  0.159	  4.132	   3.2  	        7.55	   -4.372
           3	   2.963	   0.189	  0.161	  2.242	   3    	        5.25	   -2.555
           3	   2.765	   0.092	  0.271	  2.534	   2    	        5.75	   -3.662
           5	   2.466	   0.32 	  0.09 	  3.145	   4    	        6.58	   -2.021
           3	   2.476	   0.282	  0.03 	  1.651	   5.333	        5.82	    0.894
           5	   2.094	   0.155	  0.141	  2.656	   2    	        6.66	   -3.046
           4	   1.844	   0.113	  0.038	  1.646	   1.25 	        5.46	   -2.391
           3	   2.284	   0.15 	  0.063	  1.819	   2.667	        5.36	   -1.649
           5	   3.002	   0.406	  0.154	  3.564	   5    	        6.07	   -2.126
           4	   1.348	   0.076	  0.089	  1.6  	   1    	        5.99	   -2.113
           4	   2.358	   0.06 	  0.092	  2.97 	   0.75 	        5.57	   -4.73
           4	   3.312	   0.359	  0.111	  3.212	   4.75 	        5.57	   -2.244
           4	   2.554	   0.246	  0.072	  2.354	   3.75 	        5.52	   -1.476
           3	   3.313	   0.222	  0.147	  2.747	   4.333	        5.82	   -2.096
           4	   3.435	   0.358	  0.101	  3.07 	   5.25 	        5.46	   -1.714
           5	   2.538	   0.317	  0.192	  4.232	   3.8  	        7.59	   -3.479
           5	   3.218	   0.493	  0.092	  2.988	   5.8  	        6.69	   -0.991
           4	   2.194	   0.245	  0.159	  2.482	   3.75 	        5.88	   -1.33
           3	   2.283	   0.122	  0.069	  1.882	   2.333	        4.96	   -2.023
           5	   2.761	   0.347	  0.092	  3.117	   3.8  	        6.45	   -2.517
           3	   3.312	   0.257	  0.097	  2.439	   5    	        5.09	   -1.105
           5	   2.353	   0.332	  0.103	  3.072	   4    	        6.39	   -1.86
           5	   2.165	   0.315	  0.105	  2.924	   3    	        6.36	   -2.509
           5	   1.404	   0.031	  0.158	  2.981	   0.4  	        7.56	   -4.174
           4	   1.663	   0.01 	  0.073	  1.991	   0.25 	        5.99	   -3.487
           4	   2.878	   0.235	  0.098	  3.675	   3    	        6.46	   -3.886
           5	   1.902	   0.17 	  0.144	  3.391	   2    	        6.42	   -3.607
           4	   2.348	   0.159	  0.213	  2.878	   2.5  	        6.2 	   -3.098
           5	   2.669	   0.232	  0.194	  3.389	   2.6  	        6.11	   -3.884
           3	   2.283	   0.107	  0.075	  1.889	   2    	        5.21	   -2.354
           5	   2.305	   0.305	  0.118	  3.1  	   3.4  	        6.03	   -2.428
           3	   1.986	   0    	  0.016	  1    	   0    	        5.04	   -3.002
           3	   2.917	   0.186	  0.143	  2.538	   3.667	        5.26	   -2.117
           5	   1.892	   0.159	  0.158	  2.833	   2    	        6.5 	   -3.042
           4	   2.775	   0.208	  0.074	  2.554	   3.25 	        6.22	   -2.361
           5	   2.849	   0.279	  0.094	  3.193	   3.6  	        6.2 	   -2.815
           4	   2.641	   0.259	  0.14 	  3.469	   3.75 	        5.77	   -2.759
           4	   1.993	   0.161	  0.1  	  2.54 	   2.25 	        6.07	   -2.544
           5	   2.909	   0.383	  0.174	  3.542	   4.8  	        6.01	   -2.208
           4	   3.041	   0.274	  0.134	  2.947	   4    	        5.86	   -2.396
           4	   2.756	   0.239	  0.107	  3.262	   3.5  	        6.23	   -2.864
           4	   3.012	   0.276	  0.126	  3.127	   4    	        5.71	   -2.541
           3	   2.738	   0.17 	  0.112	  2.491	   3    	        5.43	   -2.511
           3	   2.635	   0.133	  0.118	  1.602	   2.667	        5.51	   -1.821
           4	   2.22 	   0.241	  0.116	  2.371	   3.25 	        5.47	   -1.698
           5	   3.123	   0.402	  0.125	  3.802	   4.8  	        6.65	   -2.652
           5	   2.054	   0.183	  0.075	  2.535	   2    	        6.6 	   -2.847
           5	   3.098	   0.309	  0.212	  4.343	   3.4  	        6.77	   -4.562
           4	   3.296	   0.348	  0.147	  3.053	   4.5  	        5.58	   -2.344
           3	   2.552	   0.14 	  0.131	  2.787	   2.667	        4.94	   -2.943
           5	   2.788	   0.195	  0.23 	  4.857	   2.2  	        6.46	   -5.87
           5	   2.516	   0.302	  0.19 	  4.271	   3.4  	        6.78	   -3.879
           3	   2.379	   0.162	  0.045	  1.705	   3.667	        4.94	   -0.624
           3	   2.65 	   0.165	  0.112	  2.484	   3.333	        5.11	   -2.078
           5	   1.28 	   0.142	  0.101	  2.589	   1.8  	        6.68	   -2.312
           3	   2.347	   0.031	  0.256	  2.981	   0.667	        4.89	   -4.948
           5	   2.521	   0.234	  0.064	  2.707	   2.4  	        6.17	   -3.126
           5	   2.6  	   0.295	  0.196	  4.317	   3.6  	        6.45	   -3.808
           5	   2.036	   0.294	  0.052	  2.448	   3.4  	        5.74	   -1.43
           5	   2.37 	   0.223	  0.077	  3.675	   2.8  	        6.06	   -3.545
           5	   2.394	   0.275	  0.081	  2.4  	   2.8  	        6.06	   -2.35
           5	   2.582	   0.26 	  0.13 	  3.58 	   3.2  	        6.26	   -3.352
           3	   2.284	   0.15 	  0.063	  1.819	   2.667	        5.37	   -1.649
           4	   1.814	   0.05 	  0.065	  1.981	   0.5  	        5.49	   -3.41
           3	   2.992	   0.155	  0.065	  1.803	   3    	        4.94	   -2.015
           3	   3.146	   0.128	  0.235	  2.874	   2.333	        4.71	   -4.05
           4	   3.062	   0.338	  0.144	  3.18 	   4.75 	        5.65	   -1.974
           5	   2.879	   0.29 	  0.092	  3.197	   3.6  	        5.87	   -2.858
           3	   2.45 	   0.217	  0.049	  1.732	   4.333	        5.01	   -0.115
           4	   1.348	   0.076	  0.089	  1.6  	   1    	        5.48	   -2.113
           4	   2.492	   0.275	  0.153	  2.685	   3.75 	        5.38	   -1.855
           5	   1.909	   0.185	  0.141	  2.776	   2.2  	        5.79	   -2.811
           5	   1.939	   0.264	  0.091	  2.154	   3.2  	        5.8 	   -1.248
           3	   3.489	   0.157	  0.081	  2.737	   3.333	        4.88	   -3.131
           5	   2.592	   0.201	  0.07 	  2.699	   2.4  	        5.77	   -3.162
           4	   2.378	   0.157	  0.154	  3.132	   2.5  	        5.46	   -3.321
           5	   2.093	   0.271	  0.045	  2.366	   3.2  	        5.83	   -1.575
           3	   3.095	   0.256	  0.129	  2.222	   4.667	        4.96	   -1.035
           4	   2.374	   0.175	  0.039	  1.757	   3    	        5.28	   -1.345
           5	   1.755	   0.201	  0.11 	  2.476	   2.4  	        6   	   -2.142
           5	   2.432	   0.214	  0.171	  3.341	   2.8  	        6.28	   -3.358
           5	   2.26 	   0.246	  0.14 	  3.69 	   3    	        6.1 	   -3.336
           4	   2.602	   0.207	  0.187	  3.193	   3.25 	        5.65	   -2.939
           3	   3.146	   0.128	  0.221	  2.874	   2.333	        4.66	   -4.036
           5	   2.065	   0.221	  0.084	  2.472	   2.2  	        5.8 	   -2.642
           5	   2.578	   0.313	  0.051	  2.26 	   3.8  	        5.93	   -1.402
           5	   0.891	   0.01 	  0.059	  1.991	   0.2  	        6.08	   -2.751
           3	   2.276	   0.14 	  0.053	  1.811	   2.333	        4.9 	   -1.947
           4	   2.848	   0.217	  0.133	  3.422	   3.5  	        6.45	   -3.12
           4	   2.43 	   0.147	  0.11 	  2.743	   2.25 	        5.38	   -3.18
           5	   2.651	   0.309	  0.228	  4.506	   3.6  	        6.11	   -4.094
           5	   3.118	   0.391	  0.141	  3.808	   4.2  	        6.42	   -3.258
           4	   2.479	   0.235	  0.087	  2.68 	   3.5  	        5.27	   -1.981
           5	   2.55 	   0.324	  0.133	  3.993	   3.8  	        6.1 	   -3.2
           3	   2.94 	   0.229	  0.153	  2.478	   4.333	        5.11	   -1.467
           3	   3.424	   0.24 	  0.087	  2.568	   4.667	        5.65	   -1.652
           5	   2.238	   0.265	  0.099	  2.282	   3    	        7.58	   -1.884
           3	   2.816	   0.172	  0.1  	  2.508	   3.333	        5.03	   -2.263
           4	   2.411	   0.19 	  0.094	  2.601	   2.5  	        5.66	   -2.796
           5	   1.813	   0.131	  0.031	  1.847	   1.6  	        5.98	   -2.222
           5	   2.44 	   0.193	  0.169	  3.56 	   2.2  	        6.1 	   -4.162
           4	   1.912	   0.232	  0.105	  2.801	   3    	        5.3 	   -2.05
           4	   1.999	   0.163	  0.101	  2.823	   2.25 	        6.05	   -2.836
           5	   3.033	   0.376	  0.184	  3.645	   4.2  	        7.02	   -3.038
           5	   2.501	   0.236	  0.185	  3.664	   2.6  	        6.35	   -3.986
           3	   3.009	   0.108	  0.079	  1.842	   2    	        4.87	   -3.038
           3	   2.834	   0.183	  0.098	  2.525	   3.333	        5.62	   -2.307
           3	   3.347	   0.19 	  0.108	  2.76 	   3.667	        5   	   -2.738
           5	   2.827	   0.388	  0.165	  3.165	   4.4  	        6.44	   -2.145
           5	   2.572	   0.342	  0.145	  2.908	   4    	        6.72	   -1.967
