  Partitions	  BCS[-]	  ICP[-]	  SM[+]	  MQ[+]	  IFN[-]	  WC_time[-]	  Loss[-]
           4	   3.155	   0.54 	  0.112	  2.083	   7.5  	        5.07	    1.61
           4	   2.462	   0.4  	  0.221	  2.693	   5.25 	        5.48	   -0.526
           3	   2.305	   0.193	  0.143	  1.677	   4    	        4.94	   -0.318
           3	   3.283	   0.327	  0.132	  2.343	   6.667	        4.81	    0.582
           2	   3.379	   0.24 	  0.08 	  1.607	   6    	        4.22	    0.694
           4	   3.385	   0.509	  0.192	  2.418	   7    	        5.11	    0.496
           2	   3.379	   0.104	  0.126	  1.634	   4    	        4.33	   -1.243
           2	   3.414	   0.253	  0.028	  1.717	   6.5  	        4.02	    1.088
           3	   2.253	   0.167	  0.078	  1.641	   3.667	        4.64	   -0.472
           4	   1.982	   0.392	  0.147	  1.921	   5.5  	        5.09	    1.058
           2	   3.605	   0.213	  0.15 	  1.64 	   5.5  	        4.06	   -0.108
           3	   2.253	   0.109	  0.095	  1.633	   3    	        4.68	   -1.09
           2	   3.605	   0.219	  0.098	  1.605	   6    	        4   	    0.473
           3	   3.283	   0.453	  0.102	  1.87 	   9    	        4.71	    3.292
           4	   3.155	   0.529	  0.148	  2.262	   7    	        5.17	    0.906
           4	   3.133	   0.578	  0.151	  2.524	   7.5  	        5.24	    1.114
           4	   2.325	   0.205	  0.244	  2.634	   3.5  	        5.08	   -1.908
           2	   3.414	   0.247	  0.079	  1.844	   7    	        4.21	    1.416
           4	   2.462	   0.329	  0.137	  2.33 	   4.75 	        5.17	   -0.508
           2	   3.379	   0.15 	  0.11 	  1.719	   5    	        4.12	   -0.358
           2	   3.478	   0.337	  0.012	  1.445	   8.5  	        4.18	    3.228
           4	   1.69 	   0.178	  0.18 	  2.205	   3    	        5.91	   -1.253
           4	   2.462	   0.455	  0.146	  2.352	   6.75 	        5.44	    1.335
           4	   2.462	   0.335	  0.238	  2.951	   5.25 	        5.36	   -0.736
           4	   3.143	   0.465	  0.158	  2.345	   6.75 	        5.1 	    0.639
           2	   3.379	   0.146	  0.114	  1.643	   4.5  	        4.07	   -0.782
           2	   3.414	   0.375	 -0.001	  1.2  	  11    	        4.03	    6.012
           3	   3.514	   0.532	  0.139	  1.69 	   9.667	        4.58	    3.792
           3	   3.283	   0.324	  0.171	  2.322	   6    	        4.88	   -0.1
           2	   3.379	   0.104	  0.126	  1.634	   4    	        3.98	   -1.243
           2	   3.379	   0.162	  0.104	  1.642	   5    	        4.04	   -0.287
           3	   3.299	   0.42 	  0.137	  2.197	   7.667	        4.91	    1.614
